row ID,Index,Location,MinTemp_in_Celcius,MaxTemp_in_Celcius,Rainfall_in_millimeters,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity_at_9am,Humidity_at_3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
Row0,0,Albury,12.9,25.7,0,,,WSW,46,W,WSW,19,26,38,30,1007.6,1008.7,,2,21,23.2,No
Row1,1,Albury,9.2,28,0,,,NE,24,SE,E,11,9,45,16,1017.6,1012.8,,,18.1,26.5,No
Row2,2,Albury,14.3,25,0,,,W,50,SW,W,20,24,49,19,1009.6,1008.2,1,,18.1,24.6,No
Row3,3,Albury,9.7,31.9,0,,,NNW,80,SE,NW,7,28,42,9,1008.9,1003.6,,,18.3,30.2,No
Row4,4,Albury,15.9,18.6,15.6,,,W,61,NNW,NNW,28,28,76,93,994.3,993,8,8,17.4,15.8,Yes
Row6,6,Albury,11.5,29.3,0,,,S,24,SE,SE,9,9,56,28,1019.3,1014.8,,,19.1,27.3,No
Row7,7,Albury,16.2,33.9,0,,,WSW,35,SE,WSW,9,13,45,19,1010.9,1007.6,,1,23.2,33,No
Row8,8,Albury,12,24.4,0.8,,,W,39,WNW,WNW,17,17,48,28,1006.1,1005.1,1,,16.9,22.7,No
Row9,9,Albury,11.3,26.5,0,,,WNW,56,W,WNW,19,31,46,26,1004.5,1003.2,,,19.7,25.7,No
Row10,10,Albury,12.9,35.8,0,,,WNW,41,ENE,NW,6,26,41,9,1012.6,1009.2,,,22.4,34.4,No
Row11,11,Albury,13.7,37.9,0,,,W,52,SE,WNW,4,26,33,8,1010.9,1006.7,,,23.1,36.8,No
Row12,12,Albury,16.9,32,0,,,S,31,SSE,N,13,17,52,31,1009.9,1006.8,,,22.8,30,No
Row13,13,Albury,17.4,43,0,,,NW,39,SSE,SSW,7,17,40,8,1011.6,1006.9,,,25.6,41.5,No
Row14,14,Albury,10.5,28.4,0,,,SE,33,SE,SW,19,11,35,16,1019.7,1017.4,,,16,25.8,No
Row15,15,Albury,13.9,36.6,0,,,WNW,39,SSE,NNE,2,15,39,10,1015.8,1010.6,,,22,34.4,No
Row16,16,Albury,19.3,38.1,0.8,,,NNW,61,NE,WSW,15,17,48,17,1009.6,1005.9,,,27.3,36.1,No
Row17,17,Albury,24.4,34,0.6,,,NW,98,N,NNW,26,48,60,39,1005.3,997.8,4,1,26.1,33.1,No
Row18,18,Albury,18.5,38.2,0,,,NNE,31,SE,NNW,9,17,48,25,1017.8,1014.1,,,25.8,36.2,No
Row19,19,Albury,20.4,40.7,0,,,N,37,E,NNE,7,13,45,15,1014.9,1011.6,,,28.2,39.2,No
Row20,20,Albury,22.3,42.9,0,,,NNE,28,ESE,SE,9,11,37,11,1014.6,1010.2,,,29.2,41.2,No
Row21,21,Albury,21.5,37.7,0,,,NA,,N,NA,13,9,51,21,1009.2,1005.7,,,27.2,36.2,No
Row22,22,Albury,21.5,41.2,0,,,WSW,35,SSE,S,7,19,48,15,1005.9,1002.6,,,26.5,39.7,No
Row23,23,Albury,18.4,31.2,0.4,,,SE,37,SW,WSW,7,11,66,31,1009.3,1007.8,7,8,18.7,29.4,No
Row24,24,Albury,16.1,21.6,0,,,SE,46,SSE,NE,11,15,58,69,1017,1017.3,2,8,17,17.3,No
Row25,25,Albury,13.3,31.3,0,,,NNE,41,SSE,SSW,7,15,50,23,1016.2,1012.8,,,19.2,29.2,No
Row26,26,Albury,12.5,28.8,0,,,N,31,SSE,ENE,7,11,46,17,1017.2,1013.5,,,18,27,No
Row27,27,Albury,8.9,31.9,0,,,WNW,43,NA,WSW,0,17,49,16,1016.6,1013.4,7,7,15,29.3,No
Row28,28,Albury,16,34.5,0,,,WSW,44,E,NA,6,,44,14,1007.5,1004.6,,,22.2,33.6,No
Row29,29,Albury,13.8,22.1,0.2,,,WNW,57,W,WNW,26,33,57,26,1014.5,1013.1,,,15.6,21.9,No
Row30,30,Albury,15.5,32,0,,,NE,50,ESE,E,2,4,51,25,1019.5,1016.2,,,20.1,30.8,No
Row31,31,Albury,10,19.7,11.6,,,WNW,39,W,NW,11,17,62,41,1013.4,1012,,8,12.7,18.3,Yes
Row32,32,Albury,11.5,33.5,0,,,SSE,22,NE,N,7,7,50,13,1016.5,1013.6,,,17.4,32.6,No
Row33,33,Albury,10.8,31.9,0,,,S,48,SSE,WNW,6,20,62,20,1016.5,1014.4,,,15.4,30.7,No
Row34,34,Albury,14.3,32.1,0,,,NE,28,NA,ENE,0,11,59,30,1022.6,1018.4,,,18.4,30.9,No
Row35,35,Albury,10.7,21.4,12.6,,,W,43,NA,WSW,0,13,60,33,1019.8,1019.3,,,13.9,20.3,Yes
Row36,36,Albury,13.5,24.2,6.2,,,WSW,20,NA,SE,0,6,88,52,1024.1,1020.8,8,,15.4,23.1,Yes
Row37,37,Albury,10.7,21.9,0,,,W,63,NW,W,26,31,44,27,1008.2,1009.8,2,,20.5,18.9,No
Row38,38,Albury,7,23.4,0,,,W,24,SSE,W,2,17,73,37,1022.8,1019.3,,,12.4,22.9,No
Row39,39,Albury,6.2,22.7,0,,,ESE,17,NA,SW,0,7,73,33,1026,1021.6,,,11.2,22.3,No
Row40,40,Albury,1.8,17,0,,,SW,19,NA,WSW,0,7,77,44,1026,1023.2,,,7.2,16.3,No
Row41,41,Albury,3.2,18.4,0,,,SW,20,SE,WNW,6,11,86,49,1026.2,1023.6,,,8.3,18.2,No
Row42,42,Albury,6.9,16.3,0,,,WNW,35,WNW,WNW,17,19,77,59,1015.3,1013.1,8,8,10.3,15.3,No
Row43,43,Albury,12.4,16.4,1.8,,,W,52,W,WSW,22,24,82,54,1011.8,1013.4,8,8,13,14.5,Yes
Row44,44,Albury,3.7,19.1,0,,,SSE,19,NA,SSE,0,11,87,51,1023.6,1019.9,,,7.4,18.9,No
Row45,45,Albury,6.7,21.1,0,,,SE,20,NA,SE,0,11,69,43,1025,1022.1,,,12.5,20.8,No
Row46,46,Albury,9.3,20.3,0,,,NE,31,SE,NE,9,22,77,50,1024.6,1019.7,2,8,11.6,19.5,No
Row47,47,Albury,1.7,17.1,0,,,NW,44,NA,SE,0,9,73,46,1034.1,1029.9,,,8,16.8,No
Row48,48,Albury,8,14.3,1.2,,,SE,13,NA,NA,0,0,88,75,1031.9,1029.2,8,8,9.2,14,Yes
Row49,49,Albury,10.6,14.3,4.8,,,SE,13,ENE,SE,6,9,85,97,1023.5,1020.4,8,8,12.4,13,Yes
Row50,50,Albury,4.7,12.2,0,,,NNW,24,ESE,N,2,13,99,75,1015.5,1012.7,7,8,6.9,11.6,No
Row51,51,Albury,6.9,13.7,4.4,,,SE,46,ESE,ESE,7,9,99,73,1011.6,1008.1,7,,8.4,13,Yes
Row52,52,Albury,3.4,12.4,0,,,W,31,W,W,9,15,80,56,1019.9,1019,,,7,12,No
Row53,53,Albury,-1.5,12.5,0,,,E,19,NA,ENE,0,7,91,46,1026,1024.6,,,2.4,12.4,No
Row54,54,Albury,-1.7,13.8,0,,,E,17,NA,ESE,0,7,84,54,1030.4,1028.1,,,3.3,12.4,No
Row55,55,Albury,-0.4,15,0.2,,,ESE,13,NA,SE,0,7,84,54,1032,1028.6,,,3.8,14.3,No
Row56,56,Albury,4.8,13.3,0.6,,,NE,24,NA,NE,0,13,96,63,1020.5,1015.6,7,1,8.1,13.2,No
Row57,57,Albury,8.1,16.5,0.6,,,NNW,33,SSE,NNW,7,19,77,53,1010.4,1007.7,2,6,11.6,15.4,No
Row58,58,Albury,2.9,12.6,1.8,,,WSW,22,ENE,NA,4,0,99,57,1010.5,1009.9,8,,5.9,12.5,Yes
Row59,59,Albury,-0.6,13.4,0,,,WNW,24,NA,WSW,0,9,95,57,1015.6,1014.5,,,3.8,12.8,No
Row60,60,Albury,3.6,16.5,0.2,,,NW,39,NA,N,0,19,95,53,1023.1,1018.4,8,,7.1,16.3,No
Row61,61,Albury,6.6,12.3,0,,,W,44,ENE,NNW,7,20,74,81,1009.5,1006.2,7,8,11.3,10.2,No
Row62,62,Albury,4.2,12.7,3.8,,,WNW,31,NW,WNW,11,11,89,71,1024,1023.1,8,8,8.8,12,Yes
Row63,63,Albury,3.3,12.1,0.2,,,NNW,22,NA,WNW,0,9,99,76,1025.8,1022.7,7,7,6.5,12,No
Row64,64,Albury,-0.8,12.9,4.2,,,WNW,24,E,WSW,6,6,78,50,1026.4,1023,,,4.4,12.3,Yes
Row65,65,Albury,1.9,14.8,0.2,,,SE,20,SSE,SE,4,11,72,60,1018.6,1014.7,,,5.9,12.6,No
Row66,66,Albury,2.7,17.5,0.2,,,NNE,24,SE,NE,7,13,99,57,1021.2,1016.8,8,,6.7,17,No
